building_name,year,rate_aed_sqft,source
Princess Tower,2025,15.06,famproperties.com/service-charges-dubai (Mollak; Residential)
Marina Pinnacle,2025,15.85,famproperties.com/service-charges-dubai (Mollak; Residential)
Dorra Bay,2025,17.23,famproperties.com/service-charges-dubai (Mollak; Residential)
Opera Grand,2025,21.12,famproperties.com/service-charges-dubai (Mollak; Residential)
Vida Dubai Mall,2025,28.33,famproperties.com/service-charges-dubai (Mollak; Residential)
Fortune Tower,2025,11.58,famproperties.com/service-charges-dubai (Mollak; Offices)
Indigo Tower,2025,13.95,famproperties.com/service-charges-dubai (Mollak; Residential)
Cayan Tower,2025,16.56,famproperties.com/service-charges-dubai (Mollak; Residential)
Botanica Tower,2025,8.54,famproperties.com/service-charges-dubai (Mollak; Residential)
Almas Tower,2025,23.79,famproperties.com/service-charges-dubai (Mollak; Retail)
Boulevard Central,2025,21.27,famproperties.com/service-charges-dubai (Mollak; Residential)
Burj Royale,2025,15.01,famproperties.com/service-charges-dubai (Mollak; Residential)
Bahar 1,2025,15.11,famproperties.com/service-charges-dubai (Mollak; Residential)
Amwaj 4,2025,15.05,famproperties.com/service-charges-dubai (Mollak; Residential)
Bahar 2,2025,17.38,famproperties.com/service-charges-dubai (Mollak; Residential)
BLVD Crescent,2025,20.98,famproperties.com/service-charges-dubai (Mollak; Residential)
23 Marina,2025,17.07,famproperties.com/service-charges-dubai (Mollak; Residential)
Bloom Towers,2025,13.41,famproperties.com/service-charges-dubai (Mollak; Residential)
Bayside Residence,2025,19.52,famproperties.com/service-charges-dubai (Mollak; Residential)
BLVD Heights,2025,15.97,famproperties.com/service-charges-dubai (Mollak; Residential)
Boulevard Point,2025,24.21,famproperties.com/service-charges-dubai (Mollak; Residential)
